country,population,first_case,school_cases,school_date,lockdown_cases,lockdown_date,emergency_cases,emergency_date,measures_cases,measures_date
Austria,8.8,26/02/2020,246,12/03/2020,860,16/03/2020,10182,,10182,
Belgium,11.4,04/02/2020,314,12/03/2020,1085,17/03/2020,12775,,689,15/03/2020
Bulgaria,7,08/03/2020,23,13/03/2020,23,13/03/2020,23,13/03/2020,23,13/03/2020
Croatia,4.1,26/02/2020,25,13/03/2020,56,17/03/2020,867,,867,
Cyprus,1.2,10/03/2020,6,13/03/2020,116,24/03/2020,21,15/03/2020,21,15/03/2020
Czech Republic,10.7,02/03/2020,40,10/03/2020,298,16/03/2020,94,12/03/2020,94,12/03/2020
Denmark,5.8,27/02/2020,264,11/03/2020,676,13/03/2020,2860,,1024,18/03/2020
Estonia,1.3,28/02/2020,171,16/03/2020,745,,16,12/03/2020,16,12/03/2020
Finland,5.5,30/01/2020,267,16/03/2020,1384,,267,16/03/2020,267,16/03/2020
France,67,25/01/2020,3661,14/03/2020,6633,17/03/2020,52128,,14459,22/03/2020
Germany,82.9,28/01/2020,4838,16/03/2020,21463,22/03/2020,67366,,31554,25/03/2020
Greece,10.7,27/02/2020,90,11/03/2020,624,23/03/2020,1314,,1314,
Hungary,9.8,05/03/2020,39,16/03/2020,343,28/03/2020,12,11/03/2020,12,11/03/2020
Iceland,0.4,29/02/2020,199,17/03/2020,1135,,1135,,1135,
Ireland,4.9,01/03/2020,43,12/03/2020,1819,27/03/2020,3235,,366,19/03/2020
Italy,60.4,31/01/2020,2502,04/03/2020,10149,11/03/2020,3,31/01/2020,3,31/01/2020
Latvia,1.9,03/03/2020,10,12/03/2020,398,,10,12/03/2020,10,12/03/2020
Lithuania,2.8,28/02/2020,3,12/03/2020,14,16/03/2020,0,26/02/2020,0,26/02/2020
Luxembourg,0.6,01/03/2020,26,13/03/2020,38,15/03/2020,140,18/03/2020,140,18/03/2020
Malta,0.5,08/03/2020,6,12/03/2020,167,,167,01/04/2020,167,01/04/2020
Netherlands,17.2,28/02/2020,959,15/03/2020,4204,23/03/2020,12595,,12595,
Norway,5.3,27/02/2020,489,12/03/2020,489,12/03/2020,4447,,1742,21/03/2020
Poland,38,04/03/2020,31,12/03/2020,31,12/03/2020,2311,,2311,
Portugal,10.3,03/03/2020,245,16/03/2020,642,19/03/2020,448,18/03/2020,448,18/03/2020
Romania,19.5,27/02/2020,15,09/03/2020,762,25/03/2020,89,14/03/2020,89,14/03/2020
Slovakia,5.4,07/03/2020,10,12/03/2020,10,12/03/2020,44,15/03/2020,44,15/03/2020
Slovenia,2.1,05/03/2020,57,12/03/2020,319,20/03/2020,57,12/03/2020,57,12/03/2020
Spain,46.7,01/02/2020,4231,14/03/2020,4231,14/03/2020,4231,14/03/2020,4231,14/03/2020
Sweden,10.2,01/02/2020,4435,,4435,,4435,,4435,
Switzerland,8.5,26/02/2020,854,13/03/2020,6971,23/03/2020,16108,,2200,16/03/2020
United Kingdom,66.5,31/01/2020,5683,23/03/2020,5683,23/03/2020,25150,,8077,25/03/2020